Time,Competitor,Operation,OrderId,Side,Volume,Price,Lifespan,Fee,FuturePrice,EtfPrice,AccountBalance,FuturePosition,EtfPosition,ProfitLoss,TotalFees,MaxDrawdown,BuyVolume,SellVolume
0.000000,ExampleOne,Tick,,,,,,0.00,,,0.00,0,0,0.00,0.00,0.00,0,0
0.000000,TraderOne,Tick,,,,,,0.00,,,0.00,0,0,0.00,0.00,0.00,0,0
0.000000,ExampleTwo,Tick,,,,,,0.00,,,0.00,0,0,0.00,0.00,0.00,0,0
0.250000,ExampleOne,Tick,,,,,,0.00,3409.00,,0.00,0,0,0.00,0.00,0.00,0,0
0.250000,TraderOne,Tick,,,,,,0.00,3409.00,,0.00,0,0,0.00,0.00,0.00,0,0
0.250000,ExampleTwo,Tick,,,,,,0.00,3409.00,,0.00,0,0,0.00,0.00,0.00,0,0
0.797000,ExampleOne,Insert,1,B,1,3408.00,GFD,0.00,3409.00,3412.00,0.00,0,0,0.00,0.00,0.00,0,0
0.828000,ExampleOne,Tick,,,,,,0.00,3409.00,3412.00,0.00,0,0,0.00,0.00,0.00,0,0
0.828000,TraderOne,Tick,,,,,,0.00,3409.00,3412.00,0.00,0,0,0.00,0.00,0.00,0,0
0.828000,ExampleTwo,Tick,,,,,,0.00,3409.00,3412.00,0.00,0,0,0.00,0.00,0.00,0,0
0.859000,ExampleOne,Insert,2,S,1,3409.00,GFD,0.00,3409.00,3412.00,0.00,0,0,0.00,0.00,0.00,0,0
0.859000,ExampleOne,Fill,2,S,-1,3412.00,GFD,0.68,3409.00,3412.00,3411.32,0,-1,-0.68,0.68,0.68,0,1
0.859000,ExampleOne,Hedge,,B,1,3409.50,,0.00,3409.00,3412.00,1.82,1,-1,-1.18,0.68,1.18,0,1
0.859000,ExampleOne,Cancel,1,B,-1,3408.00,GFD,0.00,3409.00,3412.00,1.82,1,-1,-1.18,0.68,1.18,0,1
0.859000,ExampleOne,Insert,3,B,1,3409.00,GFD,0.00,3409.00,3412.00,1.82,1,-1,-1.18,0.68,1.18,0,1
0.859000,ExampleOne,Insert,4,S,1,3410.00,GFD,0.00,3409.00,3412.00,1.82,1,-1,-1.18,0.68,1.18,0,1
0.859000,ExampleOne,Fill,4,S,-1,3412.00,GFD,0.68,3409.00,3412.00,3413.14,1,-2,-1.86,1.36,1.86,0,2
0.859000,ExampleOne,Hedge,,B,1,3409.50,,0.00,3409.00,3412.00,3.64,2,-2,-2.36,1.36,2.36,0,2
0.875000,ExampleTwo,Insert,1,B,1,3408.00,GFD,0.00,3409.00,3412.00,0.00,0,0,0.00,0.00,0.00,0,0
0.875000,ExampleTwo,Insert,2,S,1,3409.00,GFD,0.00,3409.00,3412.00,0.00,0,0,0.00,0.00,0.00,0,0
0.875000,ExampleTwo,Fill,2,S,-1,3413.00,GFD,0.68,3409.00,3413.00,3412.32,0,-1,-0.68,0.68,0.68,0,1
0.875000,ExampleTwo,Hedge,,B,1,3409.50,,0.00,3409.00,3413.00,2.82,1,-1,-1.18,0.68,1.18,0,1
0.875000,ExampleTwo,Cancel,1,B,-1,3408.00,GFD,0.00,3409.00,3413.00,2.82,1,-1,-1.18,0.68,1.18,0,1
0.875000,ExampleTwo,Insert,3,B,1,3409.00,GFD,0.00,3409.00,3413.00,2.82,1,-1,-1.18,0.68,1.18,0,1
0.875000,ExampleTwo,Insert,4,S,1,3410.00,GFD,0.00,3409.00,3413.00,2.82,1,-1,-1.18,0.68,1.18,0,1
0.875000,ExampleTwo,Fill,4,S,-1,3413.00,GFD,0.68,3409.00,3413.00,3415.14,1,-2,-1.86,1.36,1.86,0,2
0.875000,ExampleTwo,Hedge,,B,1,3409.50,,0.00,3409.00,3413.00,5.64,2,-2,-2.36,1.36,2.36,0,2
1.000000,ExampleOne,Tick,,,,,,0.00,3409.00,3413.00,3.64,2,-2,-4.36,1.36,4.36,0,2
1.000000,TraderOne,Tick,,,,,,0.00,3409.00,3413.00,0.00,0,0,0.00,0.00,0.00,0,0
1.000000,ExampleTwo,Tick,,,,,,0.00,3409.00,3413.00,5.64,2,-2,-2.36,1.36,2.36,0,2
1.000000,ExampleOne,Insert,5,S,1,3410.00,GFD,0.00,3409.00,3413.00,3.64,2,-2,-4.36,1.36,4.36,0,2
1.000000,ExampleOne,Fill,5,S,-1,3413.00,GFD,0.68,3409.00,3413.00,3415.96,2,-3,-5.04,2.04,5.04,0,3
1.000000,ExampleOne,Hedge,,B,1,3409.50,,0.00,3409.00,3413.00,6.46,3,-3,-5.54,2.04,5.54,0,3
1.016000,ExampleTwo,Cancel,3,B,-1,3409.00,GFD,0.00,3409.00,3413.00,5.64,2,-2,-2.36,1.36,2.36,0,2
1.016000,ExampleTwo,Insert,5,B,1,3411.00,GFD,0.00,3409.00,3413.00,5.64,2,-2,-2.36,1.36,2.36,0,2
1.016000,ExampleTwo,Insert,6,S,1,3412.00,GFD,0.00,3409.00,3413.00,5.64,2,-2,-2.36,1.36,2.36,0,2
1.016000,ExampleTwo,Fill,6,S,-1,3412.00,GFD,0.68,3409.00,3412.00,3416.96,2,-3,-1.04,2.04,2.36,0,3
1.016000,ExampleTwo,Hedge,,B,1,3409.50,,0.00,3409.00,3412.00,7.46,3,-3,-1.54,2.04,2.36,0,3
1.250000,ExampleOne,Tick,,,,,,0.00,3409.00,3412.00,6.46,3,-3,-2.54,2.04,5.54,0,3
1.250000,TraderOne,Tick,,,,,,0.00,3409.00,3412.00,0.00,0,0,0.00,0.00,0.00,0,0
1.250000,ExampleTwo,Tick,,,,,,0.00,3409.00,3412.00,7.46,3,-3,-1.54,2.04,2.36,0,3
1.250000,ExampleOne,Insert,6,S,1,3410.00,GFD,0.00,3409.00,3412.00,6.46,3,-3,-2.54,2.04,5.54,0,3
